,player0,rating0,player1,rating1,player2,rating2,player3,rating3,player4,rating4,player5,rating5,player6,rating6,player7,rating7,player8,rating8,player9,rating9,player10,rating10,player11,rating11,player12,rating12,player13,rating13,player14,rating14,player15,rating15,player16,rating16,player17,rating17,player18,rating18,player19,rating19,player20,rating20,player21,rating21,player22,rating22,player23,rating23,player24,rating24,player25,rating25,player26,rating26,player27,rating27,player28,rating28,player29,rating29,player30,rating30,player31,rating31,player32,rating32,player33,rating33,words,u_words,sents,word1,word_count1,word2,word_count2,word3,word_count3,word4,word_count4,word5,word_count5,word6,word_count6,word7,word_count7,word8,word_count8,word9,word_count9,word10,word_count10
170,Hennessey,True,Fosu-Mensah,True,Tomkins,True,Riedewald,True,VanAanholt,False,Cabaye,True,Milivojevic,False,Townsend,False,Zaha,True,Benteke,True,Kelly,True,Puncheon,False,Ederson,True,Walker,True,Otamendi,True,Mangala,False,Danilo,False,Gundogan,False,Fernandinho,True,DeBruyne,True,BSilva,False,Sane,False,Aguero,False,Sterling,True,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,613,329,19,the,44,in,20,a,20,to,17,was,12,on,12,with,9,and,8,but,7,by,7
171,Foster,False,Dawson,False,Hegazi,True,Evans,False,Gibbs,False,Phillips,False,Livermore,False,Barry,False,Brunt,False,Rodriguez,True,Robson-Kanu,False,McClean,False,Krychowiak,False,Nyom,False,Cech,False,Koscielny,False,Chambers,False,Mustafi,False,Bellerin,False,Xhaka,False,Wilshere,False,Kolasinac,False,Sanchez,True,Iwobi,False,Lacazette,True,Maitland-Niles,False,Mertesacker,False,Welbeck,False,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,756,397,36,the,38,to,22,a,20,in,17,and,17,on,11,it,11,his,9,Arsenal,9,that,9
172,Begovic,False,Francis,False,SCook,False,Ake,True,Smith,True,LCook,False,Gosling,False,Fraser,True,Ibe,True,King,False,Wilson,True,Afobe,True,Mousset,False,Arter,False,Pickford,True,Kenny,False,Martina,False,Keane,False,Jagielka,False,Gueye,True,McCarthy,False,Schneiderlin,False,Lennon,False,Sigurdsson,False,Calvert-Lewin,False,Rooney,False,Niasse,True,Bolasie,False,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,775,421,33,the,50,to,24,a,20,and,18,was,16,his,14,of,14,in,12,with,12,Everton,8
173,Courtois,True,Rudiger,True,Azpilicueta,True,Cahill,False,Moses,False,Alonso,False,Kante,True,Drinkwater,True,Pedro,True,Willian,True,Morata,False,Bakayoko,False,Zappacosta,True,Batshuayi,False,Butland,False,Wimmer,False,Edwards,False,Cameron,False,Tymon,False,Fletcher,False,Adam,False,Afellay,False,Sobhi,False,Diouf,False,Berahino,False,Choupo-Moting,False,Ngoy,False,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,458,307,27,a,19,the,17,to,11,and,11,with,9,in,8,have,8,on,7,-,5,for,5
174,Lossl,True,Hadergjonaj,False,Jorgensen,False,Schindler,True,Malone,False,Hogg,True,Mooy,False,Ince,False,VanLaParra,False,Quaner,False,Depoitre,False,Smith,False,Lolley,False,Williams,False,Pope,False,Bardsley,False,Long,False,Mee,False,Taylor,False,Arfield,True,Cork,True,Hendrick,True,Defour,True,BergGudmundsson,True,Barnes,False,Vokes,True,Wells,False,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,665,351,27,the,32,a,20,in,16,and,15,to,13,for,10,on,10,Burnley,9,with,8,of,8
175,Darlow,True,Yedlin,False,Clark,True,Dummett,False,Lascelles,True,Ritchie,False,Hayden,False,Merino,False,Gayle,False,Atsu,False,Joselu,False,Perez,False,Shelvey,False,Ryan,True,Bruno,False,Bong,False,Dunk,True,Duffy,True,Stephens,False,Knockaert,False,Gross,True,March,False,Propper,False,Murray,False,Hemed,False,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,755,371,37,the,65,to,20,of,19,a,18,in,16,and,15,his,11,was,11,but,9,Brighton,9
176,Gomes,False,Janmaat,False,Wague,False,Kabasele,False,Zengelaar,False,Cleverley,False,Doucoure,True,Watson,False,Carrillo,True,Richarlison,True,Okaka,False,Prodl,False,Gray,False,Pereyra,False,Fabianski,True,Naughton,False,Mawson,True,Fernandez,True,Olsson,True,Sanches,True,Mesa,False,Carroll,False,Clucas,False,Ayew,True,Abraham,False,Narsingh,True,Dyer,False,McBurnie,True,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,598,314,27,the,50,to,16,a,15,we,14,in,13,and,12,of,10,for,8,when,8,had,7
177,DeGea,True,Young,False,Jones,True,Lindelof,False,Shaw,False,Matic,False,Pogba,True,Mkhitaryan,False,Mata,False,Lingard,False,Lukaku,False,Rashford,False,Martial,False,McCarthy,False,Stephens,True,Hoedt,True,Yoshida,True,McQueen,True,Ward-Prowse,True,Romeu,False,Hojbjerg,False,Tadic,False,Long,False,Boufal,True,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,645,359,25,the,44,in,19,to,16,a,15,on,14,was,11,from,9,and,9,of,9,had,8
178,Speroni,False,Kelly,False,Tomkins,True,Dann,False,Schlupp,False,Milivojevic,False,Cabaye,False,Loftus-Cheek,False,Townsend,True,Zaha,True,Benteke,False,McArthur,False,Sako,False,Fosu-Mensah,False,Cech,False,Koscielny,False,Mustafi,True,Chambers,False,Bellerin,True,Wilshere,True,Xhaka,False,Kolasinac,False,Ozil,True,Sanchez,True,Lacazette,False,Coquelin,False,Maitland-Niles,False,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,528,302,21,the,28,to,19,a,13,and,12,on,11,in,10,as,7,was,7,with,7,from,6
179,Lloris,False,Rose,True,Vertonghen,True,Sanchez,False,Aurier,False,Dier,True,Dembele,True,Eriksen,True,Alli,True,Son,True,Kane,True,Sissoko,False,Lamela,False,Forster,False,Yoshida,False,Stephens,False,Hoedt,False,Targett,False,Romeu,False,Hojbjerg,False,Lemina,False,Boufal,False,Redmond,False,Long,False,Tadic,False,Gabbiadini,False,McQueen,False,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,709,395,36,the,35,in,17,a,17,for,15,of,15,to,13,and,12,with,8,after,7,we,7
